id,disimm_Lim,cw_Lim,disimm_Mer,cw_Mer,disimm_Clu,cw_Clu,disimm_Gad,cw_Gad,disimm_Spr,cw_Spr,disimm_Hyp,cw_Hyp,disimm_Cal,cw_Cal,disimm_Sco,cw_Sco,disimm_Myo,cw_Myo,disimm_Pla,cw_Pla,disimm_Ago,cw_Ago,disimm_Ple,cw_Ple,disimm_Eut,cw_Eut,disimm_Amb,cw_Amb,disimm_Squ,cw_Squ,disimm_Scy,cw_Scy
"12",0.00000000,1.0241600,0.08730159,0.9691155,0.14285714,0.7199704,0.42063492,0.7540774,0.00000000,1.0736398,0.00000000,6.6756072,0.00000000,1.0774510,0.00000000,1.7505687,0.00000000,5.4705111,0.00000000,7.5735679,0.00000000,5.3972881,0.00000000,1.0140853,0.11904760,0.7345298,0.00000000,0.6902753,0.00000000,6.0772454,0.00000000,3.4628815
"13",0.00000000,1.0000080,0.00000000,0.8962640,0.13492063,0.6973524,0.00000000,0.7725210,0.00000000,0.8660411,0.00000000,6.5707976,0.00000000,0.6880708,0.00000000,0.4365438,0.00000000,4.6423122,0.00000000,7.6876702,0.00000000,4.5729982,0.00000000,0.8582355,0.00000000,0.7235990,0.12698410,0.6968077,0.00000000,5.8938794,0.00000000,3.8775851
"23",0.00000000,1.0227260,0.07936508,0.9659477,0.23015873,0.7404291,0.49206349,0.7525046,0.00000000,0.9395778,0.00000000,6.6608456,0.00000000,1.3034515,0.00000000,0.4630179,0.00000000,5.9337906,0.00000000,7.5778167,0.00000000,5.4437422,0.00000000,1.4194494,0.00000000,0.7384426,0.38888890,0.6881477,0.00000000,5.8419669,0.00000000,3.4254499
"24",0.00000000,1.0291380,0.18253968,0.9645295,0.20634921,0.7082230,0.42857143,0.7559137,0.00000000,0.8536805,0.00000000,6.7054273,0.00000000,0.9282312,0.00000000,1.8024679,0.00000000,5.8554792,0.00000000,7.5011248,0.00000000,5.8026844,0.00000000,0.9520089,0.58730160,0.7386048,0.00000000,0.6901891,0.00000000,6.0980171,0.00000000,3.5241814
"45",0.07142857,1.0344680,0.00000000,0.8872273,0.00000000,0.6852905,0.00000000,0.7846426,0.00000000,0.8123477,0.00000000,6.7673792,0.00000000,0.6606562,0.00000000,0.4380763,0.00000000,5.7135440,0.00000000,7.5159099,0.00000000,6.4994244,0.00000000,0.8628521,0.00000000,0.7353356,0.00000000,0.6988126,0.00000000,6.5313205,0.00000000,2.5513437
"35",0.14285714,1.0149410,0.00000000,0.8814793,0.24603175,0.6898931,0.08730159,0.7680280,0.00000000,0.8149888,0.00000000,6.6387820,0.00000000,0.6665369,0.00000000,0.4679336,0.00000000,5.9169086,0.00000000,7.7807466,0.00000000,5.3534769,0.00000000,0.8579843,0.00000000,0.7343329,0.00000000,0.6950228,0.00000000,5.7735833,0.00000000,2.3092519
"56",0.14285714,1.0391310,0.11111111,0.9069936,0.34126984,0.7003510,0.17460317,0.7929815,0.00000000,0.8220701,0.08730159,0.4687952,0.07142857,0.6600434,0.00000000,0.4388539,0.09523810,0.5737628,0.00000000,0.5262382,0.00000000,0.4652298,0.27777780,0.8839574,0.26984130,0.7441451,0.15873020,0.6855241,0.00000000,6.1573731,0.00000000,0.4609014
"36",0.16666666,1.0410650,0.08730159,0.8971470,0.00000000,0.7031018,0.00000000,0.7823291,0.00000000,0.8280559,0.00000000,0.4788396,0.10317460,0.6726955,0.00000000,0.4278770,0.14285710,0.5814004,0.10317460,0.5277688,0.00000000,0.4762543,0.16666670,0.8923562,0.00000000,0.7843298,0.19841270,0.6850391,0.00000000,5.6530252,0.00000000,0.4645158
"57",0.00000000,1.0227250,0.05555556,0.8870093,0.07142857,0.6743545,0.00000000,0.8294603,0.27777778,0.8088330,0.00000000,4.6158976,0.00000000,0.7922512,0.00000000,0.4500241,0.00000000,1.9269885,0.11111111,0.5193535,0.00000000,4.3238968,0.00000000,0.8839574,0.00000000,0.7291390,0.00000000,0.6857451,0.00000000,6.2448774,0.00000000,2.8683205
"58",0.12698412,1.0274910,0.33333333,0.8984849,0.38095238,0.6978301,0.06349206,0.7731701,0.34126984,0.8158391,0.00000000,6.1498156,0.07142857,0.6516242,0.00000000,0.4395263,0.00000000,0.9880841,0.00000000,7.8157773,0.00000000,0.4604133,0.09523810,0.8703803,0.16666670,0.7626185,0.38888890,0.6827144,0.00000000,5.9549716,0.00000000,0.4487879
"59",0.00793650,1.0396810,0.14285714,0.8795926,0.21428571,0.6719069,0.00000000,0.9000079,0.07936508,0.8040933,0.00000000,6.1334053,0.00000000,0.6533069,0.00000000,0.5125517,0.10317460,0.5986656,0.10317460,0.5202574,0.00000000,6.0684000,0.23015870,0.8537212,0.00000000,0.7593781,0.26190480,0.7685536,0.00000000,0.8967512,0.00000000,2.4995644
"510",0.13492063,1.0238460,0.06349206,0.8944761,0.24603175,0.6710140,0.12698413,0.7811147,0.15079365,0.8084411,0.07142857,0.4655133,0.08730159,0.6531932,0.00000000,0.4383994,0.00000000,0.5786878,0.00000000,0.5410393,0.00000000,5.0354878,0.11904760,0.8599411,0.45238100,0.7303344,0.30158730,0.6843973,0.00000000,6.0620704,0.00000000,0.4991013
"68",0.12698412,1.0748600,0.00000000,0.9412609,0.00000000,0.7185146,0.08730159,0.7809752,0.12698413,0.8257043,0.00000000,0.4763509,0.00000000,0.6981201,0.00000000,3.5894927,0.10317460,0.5807170,0.00000000,7.7142143,0.00000000,0.4994301,0.15079370,0.9126515,0.35714290,0.7858259,0.00000000,0.7101076,0.00000000,5.8151975,0.00000000,0.4856600
"78",0.06349206,1.0041350,0.00000000,0.8814726,0.25396825,0.6762554,0.00000000,0.8079671,0.32539683,0.8192722,0.00000000,4.3895346,0.07936508,0.6530853,0.00000000,2.1952625,0.00000000,1.0948968,0.00000000,0.5467912,0.00000000,0.5072049,0.13492060,0.8572055,0.11111110,0.7485569,0.31746030,0.6841431,0.00000000,6.0345329,0.00000000,0.4739933
"79",0.00000000,1.0350970,0.07142857,0.8790218,0.06349206,0.6676999,0.00000000,6.4114977,0.15079365,0.8006128,0.00000000,5.1457051,0.00000000,0.6646614,0.00000000,2.7526534,0.00000000,0.6140805,0.10317460,0.5122409,0.00000000,5.0157118,0.24603170,0.8494673,0.15873020,0.7250091,0.26984130,0.7217360,0.00000000,0.9864062,0.00000000,2.9626253
"89",0.33333333,1.0374460,0.26984127,0.8798907,0.19841270,0.6761690,0.00000000,0.7738980,0.18253968,0.8133570,0.00000000,0.4695235,0.00000000,0.6384673,0.00000000,3.6470893,0.15079370,0.5930388,0.00000000,7.7332768,0.00000000,0.6062511,0.36507940,0.8546455,0.25396830,0.7367376,0.00000000,3.2973919,0.00000000,0.8730268,0.00000000,0.5532170
"910",0.42063492,1.0379790,0.14285714,0.8803357,0.00000000,0.6862568,0.00000000,0.8759157,0.00000000,0.8024178,0.09523810,0.5410041,0.15873016,0.6424668,0.00000000,3.6813656,0.00000000,0.5766662,0.00000000,0.6061964,0.00000000,5.6600149,0.43650790,0.8536806,0.69841270,0.7480386,0.00000000,3.3899924,0.00000000,0.8861417,0.00000000,0.7141566
"810",0.00000000,1.0233750,0.12698413,0.8972925,0.16666667,0.6793338,0.00000000,0.8744231,0.19047619,0.8016853,0.00000000,5.9491369,0.00000000,0.6814865,0.00000000,3.6928771,0.00000000,0.5721613,0.07142857,0.5419257,0.00000000,0.4586997,0.00000000,0.8651643,0.44444440,0.7646168,0.00000000,3.7354499,0.00000000,5.6653874,0.00000000,0.4701620
